year,edition,country,gold,silver,bronze,total,season
1988,1988 Summer Olympics,Indonesia,0,1,0,1,Summer
1988,1988 Summer Olympics,Islamic Republic of Iran,0,1,0,1,Summer
1988,1988 Winter Olympics,Italy,2,1,2,5,Winter
1988,1988 Summer Olympics,Italy,6,4,4,14,Summer
1988,1988 Summer Olympics,Jamaica,0,2,0,2,Summer
1988,1988 Winter Olympics,Japan,0,0,1,1,Winter
1988,1988 Summer Olympics,Japan,4,3,7,14,Summer
1988,1988 Summer Olympics,Kenya,5,2,2,9,Summer
1988,1988 Winter Olympics,Liechtenstein,0,0,1,1,Winter
1988,1988 Summer Olympics,Mexico,0,0,2,2,Summer
1988,1988 Summer Olympics,Mongolia,0,0,1,1,Summer
1988,1988 Summer Olympics,Morocco,1,0,2,3,Summer
1988,1988 Winter Olympics,Netherlands,3,2,2,7,Winter
1988,1988 Summer Olympics,Netherlands,2,2,5,9,Summer
1988,1988 Summer Olympics,Netherlands Antilles,0,1,0,1,Summer
1988,1988 Summer Olympics,New Zealand,3,2,8,13,Summer
1988,1988 Summer Olympics,Norway,2,3,0,5,Summer
1988,1988 Winter Olympics,Norway,0,3,2,5,Winter
1988,1988 Summer Olympics,Pakistan,0,0,1,1,Summer
1988,1988 Summer Olympics,People's Republic of China,5,11,12,28,Summer
1988,1988 Summer Olympics,Peru,0,1,0,1,Summer
1988,1988 Summer Olympics,Philippines,0,0,1,1,Summer
1988,1988 Summer Olympics,Poland,2,5,9,16,Summer
1988,1988 Summer Olympics,Portugal,1,0,0,1,Summer
1988,1988 Summer Olympics,Republic of Korea,12,10,11,33,Summer
1988,1988 Summer Olympics,Romania,7,11,6,24,Summer
1988,1988 Summer Olympics,Senegal,0,1,0,1,Summer
1988,1988 Summer Olympics,Soviet Union,55,31,46,132,Summer
1988,1988 Winter Olympics,Soviet Union,11,9,9,29,Winter
1988,1988 Summer Olympics,Spain,1,1,2,4,Summer
1988,1988 Summer Olympics,Suriname,1,0,0,1,Summer
1988,1988 Winter Olympics,Sweden,4,0,2,6,Winter
1988,1988 Summer Olympics,Sweden,0,4,7,11,Summer
1988,1988 Summer Olympics,Switzerland,0,2,2,4,Summer
1988,1988 Winter Olympics,Switzerland,5,5,5,15,Winter
1988,1988 Summer Olympics,Thailand,0,0,1,1,Summer
1988,1988 Summer Olympics,Türkiye,1,1,0,2,Summer
1988,1988 Summer Olympics,United States,36,31,27,94,Summer
1988,1988 Winter Olympics,United States,2,1,3,6,Winter
1988,1988 Summer Olympics,United States Virgin Islands,0,1,0,1,Summer
1988,1988 Summer Olympics,West Germany,11,14,15,40,Summer
1988,1988 Winter Olympics,West Germany,2,4,2,8,Winter
1988,1988 Winter Olympics,Yugoslavia,0,2,1,3,Winter
1988,1988 Summer Olympics,Yugoslavia,3,4,5,12,Summer
1992,1992 Summer Olympics,Algeria,1,0,1,2,Summer
1992,1992 Summer Olympics,Argentina,0,0,1,1,Summer
1992,1992 Summer Olympics,Australia,7,9,11,27,Summer
1992,1992 Summer Olympics,Austria,0,2,0,2,Summer
1992,1992 Winter Olympics,Austria,6,7,8,21,Winter
1992,1992 Summer Olympics,Belgium,0,1,2,3,Summer
1992,1992 Summer Olympics,Brazil,2,1,0,3,Summer
1992,1992 Summer Olympics,Bulgaria,3,7,6,16,Summer
1992,1992 Winter Olympics,Canada,2,3,2,7,Winter
1992,1992 Summer Olympics,Canada,7,4,7,18,Summer
1992,1992 Summer Olympics,Chinese Taipei,0,1,0,1,Summer
1992,1992 Summer Olympics,Colombia,0,0,1,1,Summer
1992,1992 Summer Olympics,Croatia,0,1,2,3,Summer
1992,1992 Summer Olympics,Cuba,14,6,11,31,Summer
1992,1992 Summer Olympics,Czechoslovakia,4,2,1,7,Summer
1992,1992 Winter Olympics,Czechoslovakia,0,0,3,3,Winter
1992,1992 Winter Olympics,Democratic People's Republic of Korea,0,0,1,1,Winter
1992,1992 Summer Olympics,Democratic People's Republic of Korea,4,0,5,9,Summer
1992,1992 Summer Olympics,Denmark,1,1,4,6,Summer
1992,1992 Summer Olympics,Estonia,1,0,1,2,Summer
1992,1992 Summer Olympics,Ethiopia,1,0,2,3,Summer
1992,1992 Summer Olympics,Finland,1,2,2,5,Summer
1992,1992 Winter Olympics,Finland,3,1,3,7,Winter
1992,1992 Winter Olympics,France,3,5,1,9,Winter
1992,1992 Summer Olympics,France,8,5,16,29,Summer
1992,1992 Summer Olympics,Germany,33,21,28,82,Summer
1992,1992 Winter Olympics,Germany,10,10,6,26,Winter
1992,1992 Summer Olympics,Ghana,0,0,1,1,Summer
1992,1992 Summer Olympics,Great Britain,5,3,12,20,Summer
1992,1992 Summer Olympics,Greece,2,0,0,2,Summer
1992,1992 Summer Olympics,Hungary,11,12,7,30,Summer
1992,1992 Summer Olympics,Independent Olympic Athletes,0,1,2,3,Summer
1992,1992 Summer Olympics,Indonesia,2,2,1,5,Summer
1992,1992 Summer Olympics,Ireland,1,1,0,2,Summer
1992,1992 Summer Olympics,Islamic Republic of Iran,0,1,2,3,Summer
1992,1992 Summer Olympics,Israel,0,1,1,2,Summer
1992,1992 Winter Olympics,Italy,4,6,4,14,Winter
1992,1992 Summer Olympics,Italy,6,5,8,19,Summer
1992,1992 Summer Olympics,Jamaica,0,3,1,4,Summer
1992,1992 Winter Olympics,Japan,1,2,4,7,Winter
1992,1992 Summer Olympics,Japan,3,8,11,22,Summer
1992,1992 Summer Olympics,Kenya,2,4,2,8,Summer
1992,1992 Summer Olympics,Latvia,0,2,1,3,Summer
1992,1992 Summer Olympics,Lithuania,1,0,1,2,Summer
1992,1992 Winter Olympics,Luxembourg,0,2,0,2,Winter
1992,1992 Summer Olympics,Malaysia,0,0,1,1,Summer
1992,1992 Summer Olympics,Mexico,0,1,0,1,Summer
1992,1992 Summer Olympics,Mongolia,0,0,2,2,Summer
1992,1992 Summer Olympics,Morocco,1,1,1,3,Summer
1992,1992 Summer Olympics,Namibia,0,2,0,2,Summer
1992,1992 Winter Olympics,Netherlands,1,1,2,4,Winter
1992,1992 Summer Olympics,Netherlands,2,6,7,15,Summer
1992,1992 Winter Olympics,New Zealand,0,1,0,1,Winter
1992,1992 Summer Olympics,New Zealand,1,4,5,10,Summer
1992,1992 Summer Olympics,Nigeria,0,3,1,4,Summer
1992,1992 Summer Olympics,Norway,2,4,1,7,Summer
1992,1992 Winter Olympics,Norway,9,6,5,20,Winter
1992,1992 Summer Olympics,Pakistan,0,0,1,1,Summer
1992,1992 Winter Olympics,People's Republic of China,0,3,0,3,Winter
1992,1992 Summer Olympics,People's Republic of China,16,22,16,54,Summer
1992,1992 Summer Olympics,Peru,0,1,0,1,Summer
1992,1992 Summer Olympics,Philippines,0,0,1,1,Summer
1992,1992 Summer Olympics,Poland,3,6,10,19,Summer
1992,1992 Summer Olympics,Puerto Rico,0,0,1,1,Summer
1992,1992 Summer Olympics,Qatar,0,0,1,1,Summer
1992,1992 Winter Olympics,Republic of Korea,2,1,1,4,Winter
1992,1992 Summer Olympics,Republic of Korea,12,5,12,29,Summer
1992,1992 Summer Olympics,Romania,4,6,8,18,Summer
1992,1992 Summer Olympics,Slovenia,0,0,2,2,Summer
1992,1992 Summer Olympics,South Africa,0,2,0,2,Summer
1992,1992 Winter Olympics,Spain,0,0,1,1,Winter
1992,1992 Summer Olympics,Spain,13,7,2,22,Summer
1992,1992 Summer Olympics,Suriname,0,0,1,1,Summer
1992,1992 Winter Olympics,Sweden,1,0,3,4,Winter
1992,1992 Summer Olympics,Sweden,1,7,4,12,Summer
1992,1992 Summer Olympics,Switzerland,1,0,0,1,Summer
1992,1992 Winter Olympics,Switzerland,1,0,2,3,Winter
1992,1992 Summer Olympics,Thailand,0,0,1,1,Summer
1992,1992 Summer Olympics,The Bahamas,0,0,1,1,Summer
1992,1992 Summer Olympics,Türkiye,2,2,2,6,Summer
1992,1992 Summer Olympics,Unified Team,45,38,29,112,Summer
1992,1992 Winter Olympics,Unified Team,9,6,8,23,Winter
1992,1992 Summer Olympics,United States,37,34,37,108,Summer
1992,1992 Winter Olympics,United States,5,4,2,11,Winter
1994,1994 Winter Olympics,Australia,0,0,1,1,Winter
1994,1994 Winter Olympics,Austria,2,3,4,9,Winter
1994,1994 Winter Olympics,Belarus,0,2,0,2,Winter
1994,1994 Winter Olympics,Canada,3,6,4,13,Winter
1994,1994 Winter Olympics,Finland,0,1,5,6,Winter
1994,1994 Winter Olympics,France,0,1,4,5,Winter
1994,1994 Winter Olympics,Germany,9,7,8,24,Winter
1994,1994 Winter Olympics,Great Britain,0,0,2,2,Winter
1994,1994 Winter Olympics,Italy,7,5,8,20,Winter
1994,1994 Winter Olympics,Japan,1,2,2,5,Winter
1994,1994 Winter Olympics,Kazakhstan,1,2,0,3,Winter
1994,1994 Winter Olympics,Netherlands,0,1,3,4,Winter
1994,1994 Winter Olympics,Norway,10,11,5,26,Winter
1994,1994 Winter Olympics,People's Republic of China,0,1,2,3,Winter
1994,1994 Winter Olympics,Republic of Korea,4,1,1,6,Winter
1994,1994 Winter Olympics,Russian Federation,11,8,4,23,Winter
1994,1994 Winter Olympics,Slovenia,0,0,3,3,Winter
1994,1994 Winter Olympics,Sweden,2,1,0,3,Winter
1994,1994 Winter Olympics,Switzerland,3,4,2,9,Winter
1994,1994 Winter Olympics,Ukraine,1,0,1,2,Winter
1994,1994 Winter Olympics,United States,6,5,2,13,Winter
1994,1994 Winter Olympics,Uzbekistan,1,0,0,1,Winter
1996,1996 Summer Olympics,Algeria,2,0,1,3,Summer
1996,1996 Summer Olympics,Argentina,0,2,1,3,Summer
1996,1996 Summer Olympics,Armenia,1,1,0,2,Summer
1996,1996 Summer Olympics,Australia,9,9,23,41,Summer
1996,1996 Summer Olympics,Austria,0,1,2,3,Summer
1996,1996 Summer Olympics,Azerbaijan,0,1,0,1,Summer
1996,1996 Summer Olympics,Belarus,1,6,8,15,Summer
1996,1996 Summer Olympics,Belgium,2,2,2,6,Summer
1996,1996 Summer Olympics,Brazil,3,3,9,15,Summer
1996,1996 Summer Olympics,Bulgaria,3,7,5,15,Summer
1996,1996 Summer Olympics,Burundi,1,0,0,1,Summer
1996,1996 Summer Olympics,Canada,3,11,8,22,Summer
1996,1996 Summer Olympics,Chinese Taipei,0,1,0,1,Summer
1996,1996 Summer Olympics,Costa Rica,1,0,0,1,Summer
1996,1996 Summer Olympics,Croatia,1,1,0,2,Summer
1996,1996 Summer Olympics,Cuba,9,8,8,25,Summer
1996,1996 Summer Olympics,Czechia,4,3,4,11,Summer
1996,1996 Summer Olympics,Democratic People's Republic of Korea,2,1,2,5,Summer
1996,1996 Summer Olympics,Denmark,4,1,1,6,Summer
1996,1996 Summer Olympics,Ecuador,1,0,0,1,Summer
1996,1996 Summer Olympics,Ethiopia,2,0,1,3,Summer
1996,1996 Summer Olympics,Finland,1,2,1,4,Summer
1996,1996 Summer Olympics,France,15,7,15,37,Summer
1996,1996 Summer Olympics,Georgia,0,0,2,2,Summer
1996,1996 Summer Olympics,Germany,20,18,27,65,Summer
1996,1996 Summer Olympics,Great Britain,1,8,6,15,Summer
1996,1996 Summer Olympics,Greece,4,4,0,8,Summer
1996,1996 Summer Olympics,"Hong Kong, China",1,0,0,1,Summer
1996,1996 Summer Olympics,Hungary,7,4,10,21,Summer
1996,1996 Summer Olympics,India,0,0,1,1,Summer
1996,1996 Summer Olympics,Indonesia,1,1,2,4,Summer
1996,1996 Summer Olympics,Ireland,3,0,1,4,Summer
1996,1996 Summer Olympics,Islamic Republic of Iran,1,1,1,3,Summer
1996,1996 Summer Olympics,Israel,0,0,1,1,Summer
1996,1996 Summer Olympics,Italy,13,10,12,35,Summer
1996,1996 Summer Olympics,Jamaica,1,3,2,6,Summer
1996,1996 Summer Olympics,Japan,3,6,5,14,Summer
1996,1996 Summer Olympics,Kazakhstan,3,4,4,11,Summer
1996,1996 Summer Olympics,Kenya,1,4,3,8,Summer
1996,1996 Summer Olympics,Latvia,0,1,0,1,Summer
1996,1996 Summer Olympics,Lithuania,0,0,1,1,Summer
1996,1996 Summer Olympics,Malaysia,0,1,1,2,Summer
1996,1996 Summer Olympics,Mexico,0,0,1,1,Summer
1996,1996 Summer Olympics,Mongolia,0,0,1,1,Summer
1996,1996 Summer Olympics,Morocco,0,0,2,2,Summer
1996,1996 Summer Olympics,Mozambique,0,0,1,1,Summer
1996,1996 Summer Olympics,Namibia,0,2,0,2,Summer
1996,1996 Summer Olympics,Netherlands,4,5,10,19,Summer
1996,1996 Summer Olympics,New Zealand,3,2,1,6,Summer
1996,1996 Summer Olympics,Nigeria,2,1,3,6,Summer
1996,1996 Summer Olympics,Norway,2,2,3,7,Summer
1996,1996 Summer Olympics,People's Republic of China,16,22,12,50,Summer
1996,1996 Summer Olympics,Philippines,0,1,0,1,Summer
1996,1996 Summer Olympics,Poland,7,5,5,17,Summer
1996,1996 Summer Olympics,Portugal,1,0,1,2,Summer
1996,1996 Summer Olympics,Puerto Rico,0,0,1,1,Summer
1996,1996 Summer Olympics,Republic of Korea,7,15,5,27,Summer
1996,1996 Summer Olympics,Republic of Moldova,0,1,1,2,Summer
1996,1996 Summer Olympics,Romania,4,7,9,20,Summer
1996,1996 Summer Olympics,Russian Federation,26,21,16,63,Summer
1996,1996 Summer Olympics,Serbia and Montenegro,1,1,2,4,Summer
1996,1996 Summer Olympics,Slovakia,1,1,1,3,Summer
1996,1996 Summer Olympics,Slovenia,0,2,0,2,Summer
1996,1996 Summer Olympics,South Africa,3,1,1,5,Summer
1996,1996 Summer Olympics,Spain,5,6,6,17,Summer
1996,1996 Summer Olympics,Sweden,2,4,2,8,Summer
1996,1996 Summer Olympics,Switzerland,4,3,0,7,Summer
1996,1996 Summer Olympics,Syrian Arab Republic,1,0,0,1,Summer
1996,1996 Summer Olympics,Thailand,1,0,1,2,Summer
1996,1996 Summer Olympics,The Bahamas,0,1,0,1,Summer
1996,1996 Summer Olympics,Tonga,0,1,0,1,Summer
1996,1996 Summer Olympics,Trinidad and Tobago,0,0,2,2,Summer
1996,1996 Summer Olympics,Tunisia,0,0,1,1,Summer
1996,1996 Summer Olympics,Türkiye,4,1,1,6,Summer
1996,1996 Summer Olympics,Uganda,0,0,1,1,Summer
1996,1996 Summer Olympics,Ukraine,9,2,12,23,Summer
1996,1996 Summer Olympics,United States,44,32,25,101,Summer
1996,1996 Summer Olympics,Uzbekistan,0,1,1,2,Summer
1996,1996 Summer Olympics,Zambia,0,1,0,1,Summer
1998,1998 Winter Olympics,Australia,0,0,1,1,Winter
1998,1998 Winter Olympics,Austria,3,5,9,17,Winter
1998,1998 Winter Olympics,Belarus,0,0,2,2,Winter
1998,1998 Winter Olympics,Belgium,0,0,1,1,Winter
1998,1998 Winter Olympics,Bulgaria,1,0,0,1,Winter
1998,1998 Winter Olympics,Canada,6,5,4,15,Winter
1998,1998 Winter Olympics,Czechia,1,1,1,3,Winter
1998,1998 Winter Olympics,Denmark,0,1,0,1,Winter
1998,1998 Winter Olympics,Finland,2,4,6,12,Winter
1998,1998 Winter Olympics,France,2,1,5,8,Winter
1998,1998 Winter Olympics,Germany,12,9,8,29,Winter
1998,1998 Winter Olympics,Great Britain,0,0,1,1,Winter
1998,1998 Winter Olympics,Italy,2,6,2,10,Winter
1998,1998 Winter Olympics,Japan,5,1,4,10,Winter
1998,1998 Winter Olympics,Kazakhstan,0,0,2,2,Winter
1998,1998 Winter Olympics,Netherlands,5,4,2,11,Winter
1998,1998 Winter Olympics,Norway,10,10,5,25,Winter
1998,1998 Winter Olympics,People's Republic of China,0,6,2,8,Winter
1998,1998 Winter Olympics,Republic of Korea,3,1,2,6,Winter
1998,1998 Winter Olympics,Russian Federation,9,6,3,18,Winter
1998,1998 Winter Olympics,Sweden,0,2,1,3,Winter
1998,1998 Winter Olympics,Switzerland,2,2,3,7,Winter
1998,1998 Winter Olympics,Ukraine,0,1,0,1,Winter
1998,1998 Winter Olympics,United States,6,3,4,13,Winter
2000,2000 Summer Olympics,Algeria,1,1,3,5,Summer
2000,2000 Summer Olympics,Argentina,0,2,2,4,Summer
2000,2000 Summer Olympics,Armenia,0,0,1,1,Summer
2000,2000 Summer Olympics,Australia,16,25,17,58,Summer
2000,2000 Summer Olympics,Austria,2,1,0,3,Summer
2000,2000 Summer Olympics,Azerbaijan,2,0,1,3,Summer
2000,2000 Summer Olympics,Barbados,0,0,1,1,Summer
2000,2000 Summer Olympics,Belarus,3,3,11,17,Summer
2000,2000 Summer Olympics,Belgium,0,2,3,5,Summer
2000,2000 Summer Olympics,Brazil,0,6,6,12,Summer
2000,2000 Summer Olympics,Bulgaria,5,6,2,13,Summer
2000,2000 Summer Olympics,Cameroon,1,0,0,1,Summer
2000,2000 Summer Olympics,Canada,3,3,8,14,Summer
2000,2000 Summer Olympics,Chile,0,0,1,1,Summer
2000,2000 Summer Olympics,Chinese Taipei,0,1,4,5,Summer
2000,2000 Summer Olympics,Colombia,1,0,0,1,Summer
2000,2000 Summer Olympics,Costa Rica,0,0,2,2,Summer
2000,2000 Summer Olympics,Croatia,1,0,1,2,Summer
2000,2000 Summer Olympics,Cuba,11,11,7,29,Summer
2000,2000 Summer Olympics,Czechia,2,3,3,8,Summer
2000,2000 Summer Olympics,Democratic People's Republic of Korea,0,1,3,4,Summer
2000,2000 Summer Olympics,Denmark,2,3,1,6,Summer
2000,2000 Summer Olympics,Estonia,1,0,2,3,Summer
2000,2000 Summer Olympics,Ethiopia,4,1,3,8,Summer
2000,2000 Summer Olympics,Finland,2,1,1,4,Summer
2000,2000 Summer Olympics,France,13,14,11,38,Summer
2000,2000 Summer Olympics,Georgia,0,0,6,6,Summer
2000,2000 Summer Olympics,Germany,13,17,26,56,Summer
2000,2000 Summer Olympics,Great Britain,11,10,7,28,Summer
2000,2000 Summer Olympics,Greece,4,6,3,13,Summer
2000,2000 Summer Olympics,Hungary,8,6,3,17,Summer
2000,2000 Summer Olympics,Iceland,0,0,1,1,Summer
2000,2000 Summer Olympics,India,0,0,1,1,Summer
2000,2000 Summer Olympics,Indonesia,1,3,2,6,Summer
2000,2000 Summer Olympics,Ireland,0,1,0,1,Summer
2000,2000 Summer Olympics,Islamic Republic of Iran,3,0,1,4,Summer
2000,2000 Summer Olympics,Israel,0,0,1,1,Summer
2000,2000 Summer Olympics,Italy,13,8,13,34,Summer
2000,2000 Summer Olympics,Jamaica,0,6,3,9,Summer
2000,2000 Summer Olympics,Japan,5,8,5,18,Summer
2000,2000 Summer Olympics,Kazakhstan,3,4,0,7,Summer
2000,2000 Summer Olympics,Kenya,2,3,2,7,Summer
2000,2000 Summer Olympics,Kingdom of Saudi Arabia,0,1,1,2,Summer
2000,2000 Summer Olympics,Kuwait,0,0,1,1,Summer
2000,2000 Summer Olympics,Kyrgyzstan,0,0,1,1,Summer
2000,2000 Summer Olympics,Latvia,1,1,1,3,Summer
2000,2000 Summer Olympics,Lithuania,2,0,3,5,Summer
2000,2000 Summer Olympics,Mexico,1,2,3,6,Summer
2000,2000 Summer Olympics,Morocco,0,1,4,5,Summer
2000,2000 Summer Olympics,Mozambique,1,0,0,1,Summer
2000,2000 Summer Olympics,Netherlands,12,9,4,25,Summer
2000,2000 Summer Olympics,New Zealand,1,0,3,4,Summer
2000,2000 Summer Olympics,Nigeria,1,2,0,3,Summer
2000,2000 Summer Olympics,North Macedonia,0,0,1,1,Summer
2000,2000 Summer Olympics,Norway,4,3,3,10,Summer
2000,2000 Summer Olympics,People's Republic of China,28,16,14,58,Summer
2000,2000 Summer Olympics,Poland,6,5,3,14,Summer
2000,2000 Summer Olympics,Portugal,0,0,2,2,Summer
2000,2000 Summer Olympics,Qatar,0,0,1,1,Summer
2000,2000 Summer Olympics,Republic of Korea,8,10,10,28,Summer
2000,2000 Summer Olympics,Republic of Moldova,0,1,1,2,Summer
2000,2000 Summer Olympics,Romania,11,6,9,26,Summer
2000,2000 Summer Olympics,Russian Federation,32,28,29,89,Summer
2000,2000 Summer Olympics,Serbia and Montenegro,1,1,1,3,Summer
2000,2000 Summer Olympics,Slovakia,1,3,1,5,Summer
2000,2000 Summer Olympics,Slovenia,2,0,0,2,Summer
2000,2000 Summer Olympics,South Africa,0,2,3,5,Summer
2000,2000 Summer Olympics,Spain,3,3,5,11,Summer
2000,2000 Summer Olympics,Sri Lanka,0,1,0,1,Summer
2000,2000 Summer Olympics,Sweden,4,5,3,12,Summer
2000,2000 Summer Olympics,Switzerland,1,6,2,9,Summer
2000,2000 Summer Olympics,Thailand,1,0,2,3,Summer
2000,2000 Summer Olympics,The Bahamas,2,0,1,3,Summer
2000,2000 Summer Olympics,Trinidad and Tobago,0,1,1,2,Summer
2000,2000 Summer Olympics,Türkiye,3,0,2,5,Summer
2000,2000 Summer Olympics,Ukraine,3,10,10,23,Summer
2000,2000 Summer Olympics,United States,37,24,32,93,Summer
2000,2000 Summer Olympics,Uruguay,0,1,0,1,Summer
2000,2000 Summer Olympics,Uzbekistan,1,1,2,4,Summer
2000,2000 Summer Olympics,Vietnam,0,1,0,1,Summer
2002,2002 Winter Olympics,Australia,2,0,0,2,Winter
2002,2002 Winter Olympics,Austria,3,4,10,17,Winter
2002,2002 Winter Olympics,Belarus,0,0,1,1,Winter
2002,2002 Winter Olympics,Bulgaria,0,1,2,3,Winter
2002,2002 Winter Olympics,Canada,7,3,7,17,Winter
2002,2002 Winter Olympics,Croatia,3,1,0,4,Winter
2002,2002 Winter Olympics,Czechia,1,2,0,3,Winter
2002,2002 Winter Olympics,Estonia,1,1,1,3,Winter
2002,2002 Winter Olympics,Finland,4,2,1,7,Winter
2002,2002 Winter Olympics,France,4,5,2,11,Winter
2002,2002 Winter Olympics,Germany,12,16,8,36,Winter
2002,2002 Winter Olympics,Great Britain,1,0,1,2,Winter
2002,2002 Winter Olympics,Italy,4,4,5,13,Winter
2002,2002 Winter Olympics,Japan,0,1,1,2,Winter
2002,2002 Winter Olympics,Netherlands,3,5,0,8,Winter
2002,2002 Winter Olympics,Norway,13,5,7,25,Winter
2002,2002 Winter Olympics,People's Republic of China,2,2,4,8,Winter
2002,2002 Winter Olympics,Poland,0,1,1,2,Winter
2002,2002 Winter Olympics,Republic of Korea,2,2,0,4,Winter
2002,2002 Winter Olympics,Russian Federation,5,4,4,13,Winter
2002,2002 Winter Olympics,Slovenia,0,0,1,1,Winter
2002,2002 Winter Olympics,Sweden,0,2,5,7,Winter
2002,2002 Winter Olympics,Switzerland,3,2,6,11,Winter
2002,2002 Winter Olympics,United States,10,13,11,34,Winter
2004,2004 Summer Olympics,Argentina,2,0,4,6,Summer
2004,2004 Summer Olympics,Australia,17,16,17,50,Summer
2004,2004 Summer Olympics,Austria,2,4,1,7,Summer
2004,2004 Summer Olympics,Azerbaijan,1,0,4,5,Summer
2004,2004 Summer Olympics,Belarus,2,5,6,13,Summer
2004,2004 Summer Olympics,Belgium,1,0,2,3,Summer
2004,2004 Summer Olympics,Brazil,5,2,3,10,Summer
2004,2004 Summer Olympics,Bulgaria,2,1,9,12,Summer
2004,2004 Summer Olympics,Cameroon,1,0,0,1,Summer
2004,2004 Summer Olympics,Canada,3,6,3,12,Summer
2004,2004 Summer Olympics,Chile,2,0,1,3,Summer
2004,2004 Summer Olympics,Chinese Taipei,2,2,1,5,Summer
2004,2004 Summer Olympics,Colombia,0,0,2,2,Summer
2004,2004 Summer Olympics,Croatia,1,2,2,5,Summer
2004,2004 Summer Olympics,Cuba,9,7,11,27,Summer
2004,2004 Summer Olympics,Czechia,1,3,5,9,Summer
2004,2004 Summer Olympics,Democratic People's Republic of Korea,0,4,1,5,Summer
2004,2004 Summer Olympics,Denmark,2,1,5,8,Summer
2004,2004 Summer Olympics,Dominican Republic,1,0,0,1,Summer
2004,2004 Summer Olympics,Egypt,1,1,3,5,Summer
2004,2004 Summer Olympics,Eritrea,0,0,1,1,Summer
2004,2004 Summer Olympics,Estonia,0,1,2,3,Summer
2004,2004 Summer Olympics,Ethiopia,2,3,2,7,Summer
2004,2004 Summer Olympics,Finland,0,2,0,2,Summer
2004,2004 Summer Olympics,France,11,9,13,33,Summer
2004,2004 Summer Olympics,Georgia,2,2,0,4,Summer
2004,2004 Summer Olympics,Germany,13,16,20,49,Summer
2004,2004 Summer Olympics,Great Britain,9,9,12,30,Summer
2004,2004 Summer Olympics,Greece,6,6,4,16,Summer
2004,2004 Summer Olympics,"Hong Kong, China",0,1,0,1,Summer
2004,2004 Summer Olympics,Hungary,8,6,3,17,Summer
2004,2004 Summer Olympics,India,0,1,0,1,Summer
2004,2004 Summer Olympics,Indonesia,1,1,2,4,Summer
2004,2004 Summer Olympics,Islamic Republic of Iran,2,2,2,6,Summer
2004,2004 Summer Olympics,Israel,1,0,1,2,Summer
2004,2004 Summer Olympics,Italy,10,11,11,32,Summer
2004,2004 Summer Olympics,Jamaica,2,1,2,5,Summer
2004,2004 Summer Olympics,Japan,16,9,12,37,Summer
2004,2004 Summer Olympics,Kazakhstan,1,4,3,8,Summer
2004,2004 Summer Olympics,Kenya,1,4,2,7,Summer
2004,2004 Summer Olympics,Latvia,0,4,0,4,Summer
2004,2004 Summer Olympics,Lithuania,1,2,0,3,Summer
2004,2004 Summer Olympics,Mexico,0,3,1,4,Summer
2004,2004 Summer Olympics,Mongolia,0,0,1,1,Summer
2004,2004 Summer Olympics,Morocco,2,1,0,3,Summer
2004,2004 Summer Olympics,Netherlands,4,9,9,22,Summer
2004,2004 Summer Olympics,New Zealand,3,2,0,5,Summer
2004,2004 Summer Olympics,Nigeria,0,0,2,2,Summer
2004,2004 Summer Olympics,Norway,5,0,1,6,Summer
2004,2004 Summer Olympics,Paraguay,0,1,0,1,Summer
2004,2004 Summer Olympics,People's Republic of China,32,17,14,63,Summer
2004,2004 Summer Olympics,Poland,3,2,5,10,Summer
2004,2004 Summer Olympics,Portugal,0,2,1,3,Summer
2004,2004 Summer Olympics,Republic of Korea,9,12,9,30,Summer
2004,2004 Summer Olympics,Romania,8,5,6,19,Summer
2004,2004 Summer Olympics,Russian Federation,28,26,36,90,Summer
2004,2004 Summer Olympics,Serbia and Montenegro,0,2,0,2,Summer
2004,2004 Summer Olympics,Slovakia,2,2,2,6,Summer
2004,2004 Summer Olympics,Slovenia,0,1,3,4,Summer
2004,2004 Summer Olympics,South Africa,1,3,2,6,Summer
2004,2004 Summer Olympics,Spain,3,11,6,20,Summer
2004,2004 Summer Olympics,Sweden,4,2,1,7,Summer
2004,2004 Summer Olympics,Switzerland,1,1,3,5,Summer
2004,2004 Summer Olympics,Syrian Arab Republic,0,0,1,1,Summer
2004,2004 Summer Olympics,Thailand,3,1,4,8,Summer
2004,2004 Summer Olympics,The Bahamas,1,0,1,2,Summer
2004,2004 Summer Olympics,Trinidad and Tobago,0,0,1,1,Summer
2004,2004 Summer Olympics,Türkiye,3,3,4,10,Summer
2004,2004 Summer Olympics,Ukraine,8,5,9,22,Summer
2004,2004 Summer Olympics,United Arab Emirates,1,0,0,1,Summer
2004,2004 Summer Olympics,United States,36,39,26,101,Summer
2004,2004 Summer Olympics,Uzbekistan,2,1,2,5,Summer
2004,2004 Summer Olympics,Venezuela,0,0,2,2,Summer
2004,2004 Summer Olympics,Zimbabwe,1,1,1,3,Summer
2006,2006 Winter Olympics,Australia,1,0,1,2,Winter
2006,2006 Winter Olympics,Austria,9,7,7,23,Winter
2006,2006 Winter Olympics,Belarus,0,1,0,1,Winter
2006,2006 Winter Olympics,Bulgaria,0,1,0,1,Winter
2006,2006 Winter Olympics,Canada,7,10,7,24,Winter
2006,2006 Winter Olympics,Croatia,1,2,0,3,Winter
2006,2006 Winter Olympics,Czechia,1,2,1,4,Winter
2006,2006 Winter Olympics,Estonia,3,0,0,3,Winter
2006,2006 Winter Olympics,Finland,0,6,3,9,Winter
2006,2006 Winter Olympics,France,3,2,4,9,Winter
